,url,title,author,num_reviews,num_ratings,avg_ratings,original_publish_year,series,genres,awards,num_pages,award_number,mean_norm_ratings,min_max
469,https://www.goodreads.com/book/show/21996.The_Devil_in_the_White_City,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,13115,320969,4.25,1990,False,"['Nonfiction', 'Self Help', 'Relationships']",['Audie Award for Personal Development/Motivational (2006)'],232,1,0.11,6.76
470,https://www.goodreads.com/book/show/23878688-the-5-love-languages,The Awakening: Fate in Motion,Suzanne Boisvert,41,6668,4.31,0,False,"['Contemporary', 'Fiction', 'Drama']",[],331,1,0.15,7.12
471,https://www.goodreads.com/book/show/6952.Like_Water_for_Chocolate,Like Water for Chocolate,Laura Esquivel,9820,331094,3.95,1989,True,"['Fiction', 'Magical Realism', 'Romance']","['Prêmio Jabuti for Tradução (1994)', 'American Booksellers Book Of The Year  Award for Adult Trade (1994)']",222,2,-0.08,5.0
472,https://www.goodreads.com/book/show/41423092-the-awakening,To Live and Drink in L.A.,Ben Peller,223,455,3.94,0,True,"['Autobiography', 'Memoir', 'Young Adult']",[],352,1,-0.09,4.94
473,https://www.goodreads.com/book/show/10920.Cold_Mountain,Cold Mountain,Charles Frazier,5806,226306,3.87,1997,False,"['Historical', 'Historical Fiction', 'Fiction']","['National Book Award for Fiction (1997)', 'American Booksellers Book Of The Year  Award for Adult Trade (1998)', 'Exclusive Books Boeke Prize (1998)', 'Sue Kaufman Prize for First Fiction (1998)', 'Chicago Tribune Heartland Prize for Fiction (1997)', 'National Book Critics Circle Award Nominee for Fiction (1997)', 'Weatherford Award (1997)', 'Lillian Smith Book Award (1997)', 'Thomas Wolfe Memorial Literary Award (1997)']",449,9,-0.13,4.53
474,https://www.goodreads.com/book/show/11393301-to-live-and-drink-in-l-a,Ivanhoe,Walter Scott,2501,89858,3.75,1819,True,"['Classics', 'Historical', 'Historical Fiction']",[],496,1,-0.21,3.82
475,https://www.goodreads.com/book/show/61535.The_Selfish_Gene,The Selfish Gene,Richard Dawkins,3901,147718,4.14,1976,False,"['Science', 'Nonfiction', 'Science']",[],360,1,0.04,6.12
476,https://www.goodreads.com/book/show/6440.Ivanhoe,The Stinky Cheese Man and Other Fairly Stupid Tales,Jon Scieszka,2321,93019,4.19,0,False,"['Childrens', 'Picture Books', 'Childrens']","['Caldecott Medal Nominee (1993)', 'Texas Bluebonnet Award (1995)', ""Buckeye Children's Book Award for K-2 (1995)"", ""Flicker Tale Children's Book Award (1994)"", ""Pennsylvania Young Readers' Choice Award for Grades 3-8 (1994)"", ""North Carolina Children's Book Award (1994)""]",52,6,0.07,6.41
477,https://www.goodreads.com/book/show/407429.The_Stinky_Cheese_Man_and_Other_Fairly_Stupid_Tales,Lady Chatterley's Lover,D.H. Lawrence,5305,105946,3.51,1923,False,"['Classics', 'Fiction', 'Romance']",[],376,1,-0.37,2.41
478,https://www.goodreads.com/book/show/32049.Lady_Chatterley_s_Lover,Outliers: The Story of Success,Malcolm Gladwell,27091,602427,4.17,0,False,"['Nonfiction', 'Psychology', 'Business']",[],309,1,0.06,6.29
479,https://www.goodreads.com/book/show/3228917-outliers,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,14074,717556,3.98,2000,False,"['Nonfiction', 'Business', 'Psychology']",[],301,1,-0.06,5.18
480,https://www.goodreads.com/book/show/2612.The_Tipping_Point,Amelia Bedelia,Peggy Parish,1094,85348,4.16,1963,True,"['Childrens', 'Childrens', 'Picture Books']",[],64,1,0.05,6.24
481,https://www.goodreads.com/book/show/774001.Amelia_Bedelia,Sybil: The Classic True Story of a Woman Possessed by Sixteen Personalities,Flora Rheta Schreiber,1508,86699,3.98,1973,False,"['Nonfiction', 'Psychology', 'Biography']",[],481,1,-0.06,5.18
482,https://www.goodreads.com/book/show/67920.Sybil,On the Beach,Nevil Shute,2649,36473,3.95,1957,False,"['Fiction', 'Science Fiction', 'Apocalyptic']",[],296,1,-0.08,5.0
483,https://www.goodreads.com/book/show/38180.On_the_Beach,To the Lighthouse,Virginia Woolf,8164,141270,3.78,1927,False,"['Classics', 'Fiction', 'Literature']",['Femina - Vie Heureuse Prize (1928)'],209,1,-0.19,4.0
484,https://www.goodreads.com/book/show/59716.To_the_Lighthouse,The Rise and Fall of the Third Reich: A History of Nazi Germany,William L. Shirer,3030,108742,4.15,1960,False,"['History', 'Nonfiction', 'War']","['National Book Award for Nonfiction (1961)', 'Cornelius Ryan Award (1960)']",1614,2,0.05,6.18
485,https://www.goodreads.com/book/show/10572.A_Clash_of_Kings,A Clash of Kings,George R.R. Martin,24344,813305,4.41,1998,True,"['Fantasy', 'Fiction', 'Fantasy']","['Nebula Award Nominee for Best Novel (1999)', 'Locus Award for Best Fantasy Novel (1999)', 'Premio Ignotus for Novela extranjera (2004)']",969,3,0.22,7.71
486,https://www.goodreads.com/book/show/767171.The_Rise_and_Fall_of_the_Third_Reich,The Killer Angels,Michael Shaara,4892,77062,4.31,1974,True,"['Historical', 'Historical Fiction', 'Fiction']",['Pulitzer Prize for Fiction (1975)'],345,1,0.15,7.12
487,https://www.goodreads.com/book/show/682804.The_Killer_Angels,A Room of One's Own,Virginia Woolf,8727,130388,4.17,1929,False,"['Classics', 'Nonfiction', 'Feminism']",[],112,1,0.06,6.29
488,https://www.goodreads.com/book/show/52309.The_Autobiography_of_Benjamin_Franklin,گم شده ای در مه,سید مرتضی مصطفوی,225,897,4.03,0,False,"['Fiction', 'Philosophy', 'Spirituality']",[],82,1,-0.03,5.47
489,https://www.goodreads.com/book/show/18521.A_Room_of_One_s_Own,The Witch of Blackbird Pond,Elizabeth George Speare,6283,140438,3.98,1958,False,"['Historical', 'Historical Fiction', 'Young Adult']","['Newbery Medal (1959)', ""Dorothy Canfield Fisher Children's Book Award Nominee (1960)""]",256,2,-0.06,5.18
