,1st Pub,Author,Awards,Genres,Link,N pag,Rating Count,Rating Value,Review Count,Title,series
44,,Kathryn Stockett,"['Orange Prize Nominee for Fiction Longlist (2010)', 'Audie Award for Fiction (2010)', 'Exclusive Books Boeke Prize (2009)', 'SIBA Book Award for Fiction (2010)', 'Indies Choice Book Award for Adult Debut (2010)', 'Puddly Award for Fiction (2011)', 'Lincoln Award Nominee (2013)', 'Grand Prix des lectrices de Elle for roman (2011)', 'Goodreads Choice Award for Fiction (2009) and Nominee for Best of the Best  (2018)', 'Townsend Prize for Fiction (2010)']","['Fiction', 'Historical', 'Historical Fiction']",https://www.goodreads.com/book/show/4667024-the-help,464,2266048,4.46,85535,The Help,0
45,1910,Frances Hodgson Burnett,['Lewis Carroll Shelf Award (1958)'],"['Classics', 'Fiction', 'Childrens']",https://www.goodreads.com/book/show/2998.The_Secret_Garden,331,942366,4.13,20234,The Secret Garden,0
46,1997,Arthur Golden,[],"['Fiction', 'Historical', 'Historical Fiction']",https://www.goodreads.com/book/show/929.Memoirs_of_a_Geisha,503,1769374,4.12,30998,Memoirs of a Geisha,0
47,1950,C.S. Lewis,"['Lewis Carroll Shelf Award (1962)', ""The Keith Barker Millennium Children's Book Awards 'Children's Book of the Century'"", 'Retro Hugo Award Nominee for Best Novel (2001)']","['Fantasy', 'Classics', 'Fiction']",https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe,206,2240124,4.22,23507,"The Lion, the Witch and the Wardrobe",1
48,1843,Charles Dickens,['Audie Award for Classic (2005)'],"['Classics', 'Fiction', 'Holiday']",https://www.goodreads.com/book/show/1381.The_Odyssey,104,643944,4.07,20872,A Christmas Carol,0
49,-800,Homer,[],"['Classics', 'Fiction', 'Poetry']",https://www.goodreads.com/book/show/5326.A_Christmas_Carol,541,893392,3.78,13110,The Odyssey,0
50,1957,Dr. Seuss,"['Books I Loved Best Yearly (BILBY) Awards for Early Readers (2004, 2012) (2004)']","['Childrens', 'Childrens', 'Picture Books']",https://www.goodreads.com/book/show/233093.The_Cat_in_the_Hat,61,455973,4.16,6067,The Cat in the Hat,1
51,1967,S.E. Hinton,"['Books I Loved Best Yearly (BILBY) Awards for Secondary  (1991)', 'Margaret A. Edwards Award (1988)']","['Classics', 'Young Adult', 'Fiction']",https://www.goodreads.com/book/show/231804.The_Outsiders,192,991434,4.10,34873,The Outsiders,0
52,1982,Alice Walker,"['Pulitzer Prize for Fiction (1983)', 'National Book Award for Fiction (Hardcover) (1983)', 'National Book Critics Circle Award Nominee for Fiction (1982)', 'Townsend Prize for Fiction (1984)']","['Classics', 'Fiction', 'Historical']",https://www.goodreads.com/book/show/52892857-the-color-purple,304,547009,4.23,16597,The Color Purple,1
53,1939,John Steinbeck,"['Pulitzer Prize for Novel (1940)', 'National Book Award for Fiction (1939)', 'California Book Award for General Literature (Silver) (1939)', 'Audie Award for Classic (1999)']","['Classics', 'Fiction', 'Historical']",https://www.goodreads.com/book/show/18114322-the-grapes-of-wrath,479,777367,3.98,18082,The Grapes of Wrath,0
